Time (seconds),X-Force,Y-Force,Z-Force,AbsoluteForce
0.74,112,48,-992,999
0.76,112,48,-976,983
0.79,128,48,-992,1001
0.81,112,48,-976,983
0.83,128,64,-992,1002
0.86,96,64,-976,982
0.88,112,32,-976,982
0.91,112,48,-976,983
0.93,96,64,-976,982
0.95,112,64,-976,984
1.00,96,32,-960,965
1.02,128,64,-992,1002
1.05,96,48,-976,981
1.07,96,64,-976,982
1.10,112,48,-960,967
1.12,112,48,-960,967
1.15,112,48,-976,983
1.17,96,48,-976,981
1.19,96,32,-976,981
1.22,128,64,-976,986
1.24,112,48,-976,983
1.27,112,48,-976,983
1.29,128,48,-960,969
1.33,96,48,-992,997
1.36,128,64,-992,1002
1.38,112,32,-976,982
1.41,112,48,-960,967
1.43,112,80,-976,985
1.45,112,64,-976,984
1.48,128,48,-992,1001
1.50,112,48,-960,967
1.53,128,64,-976,986
1.55,144,64,-976,988
1.57,112,48,-976,983
1.60,128,48,-976,985
1.64,128,64,-960,970
1.67,96,16,-960,964
1.69,96,48,-976,981
1.72,128,48,-976,985
1.74,112,32,-992,998
1.77,96,48,-976,981
1.79,112,48,-992,999
1.81,128,64,-992,1002
1.84,112,48,-992,999
1.86,96,32,-976,981
1.89,112,64,-976,984
1.91,112,32,-992,998
1.95,112,48,-992,999
1.98,112,64,-960,968
2.00,128,48,-976,985
2.03,112,48,-992,999
2.05,112,48,-976,983
2.07,112,48,-992,999
2.10,128,48,-976,985
2.12,112,64,-976,984
2.15,128,48,-976,985
2.17,112,64,-960,968
2.19,96,64,-976,982
2.22,112,48,-992,999
2.26,112,64,-976,984
2.29,112,64,-976,984
2.31,112,48,-976,983
2.34,112,32,-976,982
2.36,112,80,-976,985
2.39,128,48,-976,985
2.41,112,48,-992,999
2.43,112,48,-976,983
2.46,96,64,-992,998
2.48,112,48,-992,999
2.51,112,48,-976,983
2.53,112,64,-976,984
2.56,112,48,-992,999
2.59,112,64,-960,968
2.62,96,32,-976,981
2.64,96,48,-992,997
2.67,112,48,-976,983
2.69,112,48,-976,983
2.71,96,32,-976,981
2.74,128,48,-992,1001
2.76,112,48,-992,999
2.79,112,64,-976,984
2.81,128,32,-960,969
2.83,112,64,-992,1000
2.86,128,64,-944,954
2.90,112,48,-960,967
2.93,128,32,-960,969
2.95,128,48,-976,985
2.98,112,64,-992,1000
3.00,96,64,-992,998
3.03,96,64,-976,982
3.05,112,64,-976,984
3.07,112,64,-976,984
3.10,96,64,-976,982
3.12,128,48,-976,985
3.15,128,64,-960,970
3.17,96,64,-976,982
3.21,112,48,-1008,1015
3.24,112,48,-992,999
3.26,112,64,-976,984
3.29,128,48,-976,985
3.31,112,32,-992,998
3.33,96,48,-976,981
3.36,128,64,-992,1002
3.38,112,48,-960,967
3.41,128,48,-976,985
3.43,112,48,-976,983
3.45,112,32,-976,982
3.48,96,48,-976,981
3.52,128,48,-976,985
3.55,128,48,-960,969
3.57,96,48,-992,997
3.59,128,64,-976,986
3.62,96,64,-992,998
3.64,112,64,-976,984
3.67,144,32,-1008,1018
3.69,128,48,-976,985
3.72,128,64,-976,986
3.74,128,48,-960,969
3.77,144,64,-976,988
3.79,128,64,-992,1002
3.83,112,64,-976,984
3.86,112,48,-960,967
3.88,112,48,-976,983
3.91,112,64,-992,1000
3.93,112,32,-976,982
3.95,112,48,-976,983
3.98,96,48,-960,965
4.00,112,48,-976,983
4.03,112,48,-992,999
4.05,112,64,-976,984
4.07,128,64,-976,986
4.10,128,32,-992,1000
4.13,112,64,-960,968
4.16,96,64,-960,966
4.19,128,48,-960,969
4.21,96,32,-992,997
4.23,112,64,-992,1000
4.26,96,32,-992,997
4.28,112,64,-976,984
4.31,96,48,-992,997
4.33,112,48,-992,999
4.36,96,32,-992,997
4.38,96,64,-976,982
4.41,112,48,-976,983
4.43,112,32,-976,982
4.47,112,64,-976,984
4.50,128,32,-992,1000
4.52,112,48,-976,983
4.55,144,48,-976,987
4.57,128,48,-992,1001
4.59,96,32,-960,965
4.62,128,48,-976,985
4.64,112,80,-976,985
4.67,112,48,-992,999
4.69,128,48,-976,985
4.71,128,48,-992,1001
4.74,96,48,-976,981
4.78,128,48,-944,953
4.81,112,64,-960,968
4.83,128,48,-992,1001
4.85,112,48,-976,983
4.88,112,64,-976,984
4.90,112,32,-960,967
4.93,128,64,-976,986
4.95,144,48,-976,987
4.98,112,48,-992,999
5.00,112,48,-992,999
5.03,128,64,-976,986
5.05,96,48,-976,981
5.09,112,48,-960,967
5.12,112,32,-976,982
5.14,112,48,-976,983
5.17,112,64,-976,984
5.19,112,64,-960,968
5.21,112,64,-976,984
5.24,96,64,-976,982
5.26,112,64,-976,984
5.29,112,48,-976,983
5.31,128,32,-992,1000
5.33,80,48,-992,996
5.36,112,48,-976,983
5.39,96,80,-976,983
5.42,128,64,-976,986
5.45,112,64,-976,984
5.47,112,64,-976,984
5.49,112,64,-992,1000
5.52,128,48,-976,985
5.54,112,64,-976,984
5.57,112,48,-960,967
5.59,128,64,-976,986
5.62,112,48,-976,983
5.64,112,80,-992,1001
5.67,128,48,-960,969
5.69,144,48,-976,987
5.84,128,64,-976,986
5.86,112,64,-960,968
5.89,128,80,-976,987
5.91,128,32,-976,984
5.93,128,48,-976,985
5.96,112,32,-976,982
5.98,96,64,-1008,1014
6.01,128,48,-960,969
6.03,112,48,-992,999
6.05,112,48,-976,983
6.08,112,48,-976,983
6.10,112,48,-976,983
6.15,112,64,-976,984
6.17,112,64,-992,1000
6.19,112,48,-976,983
6.22,112,64,-992,1000
6.24,112,48,-960,967
6.27,128,64,-976,986
6.29,96,64,-960,966
6.31,96,32,-992,997
6.34,112,64,-976,984
6.37,112,48,-976,983
6.39,112,64,-992,1000
6.41,128,48,-992,1001
6.46,96,64,-976,982
6.48,96,64,-992,998
6.51,112,48,-992,999
6.53,128,64,-976,986
6.55,96,48,-976,981
6.58,128,48,-976,985
6.60,96,48,-992,997
6.63,96,48,-1008,1013
6.65,112,64,-976,984
6.67,128,48,-976,985
6.70,112,64,-976,984
6.72,96,48,-960,965
6.77,96,64,-976,982
6.79,112,48,-960,967
6.81,112,80,-992,1001
6.84,128,64,-976,986
6.86,112,32,-992,998
6.89,112,48,-976,983
6.91,96,64,-960,966
6.93,96,48,-960,965
6.96,112,48,-976,983
6.98,112,48,-976,983
7.01,128,64,-992,1002
7.03,96,48,-960,965
7.06,112,64,-992,1000
7.10,112,48,-976,983
7.13,112,48,-960,967
7.15,112,48,-960,967
7.17,112,48,-976,983
7.20,96,80,-976,983
7.22,128,48,-976,985
7.25,128,48,-992,1001
7.27,112,64,-992,1000
7.29,112,48,-960,967
7.32,128,32,-960,969
7.34,112,64,-976,984
7.37,96,48,-976,981
7.41,144,64,-976,988
7.43,112,48,-992,999
7.46,128,64,-976,986
7.48,128,48,-976,985
7.51,96,48,-992,997
7.53,112,48,-976,983
7.55,128,48,-976,985
7.58,96,64,-960,966
7.60,112,80,-992,1001
7.63,128,48,-976,985
7.65,112,48,-992,999
7.68,112,64,-992,1000
7.72,112,48,-976,983
7.75,128,48,-976,985
7.77,128,48,-976,985
7.79,112,64,-976,984
7.82,112,64,-992,1000
7.84,144,64,-992,1004
7.87,112,64,-992,1000
7.89,96,48,-992,997
7.91,128,48,-960,969
7.94,112,48,-960,967
7.96,112,32,-976,982
7.99,96,80,-976,983
8.03,112,48,-976,983
8.05,96,48,-976,981
8.08,128,32,-992,1000
8.10,112,64,-960,968
8.13,96,48,-976,981
8.15,112,64,-976,984
8.17,128,48,-976,985
8.20,96,64,-960,966
8.22,96,48,-992,997
8.25,112,48,-1008,1015
8.27,112,64,-976,984
8.30,112,64,-976,984
8.34,112,48,-976,983
8.36,128,48,-992,1001
8.39,128,48,-976,985
8.41,128,48,-992,1001
8.43,112,48,-976,983
8.46,128,48,-960,969
8.48,96,64,-976,982
8.51,112,32,-976,982
8.53,128,32,-976,984
8.55,112,32,-976,982
8.58,112,64,-976,984
8.60,96,64,-960,966
8.65,112,48,-976,983
8.67,112,64,-976,984
8.69,128,64,-976,986
8.72,112,48,-992,999
8.74,112,64,-976,984
8.77,96,64,-976,982
8.79,128,48,-960,969
8.81,112,64,-976,984
8.84,96,64,-976,982
8.86,128,64,-992,1002
8.89,96,48,-976,981
8.91,112,64,-960,968
8.94,112,80,-976,985
8.98,112,48,-976,983
9.00,96,48,-976,981
9.03,112,48,-960,967
9.05,128,48,-976,985
9.07,128,64,-976,986
9.10,112,64,-976,984
9.12,128,48,-992,1001
9.15,112,32,-976,982
9.17,128,64,-1008,1018
9.19,128,48,-960,969
9.22,128,64,-976,986
9.24,128,48,-944,953
9.29,128,48,-960,969
9.31,112,64,-976,984
9.33,128,32,-960,969
9.36,128,48,-992,1001
9.38,128,48,-960,969
9.41,96,64,-992,998
9.43,112,64,-976,984
9.45,112,48,-992,999
9.48,112,48,-960,967
9.50,112,64,-976,984
9.53,112,48,-976,983
9.55,128,48,-976,985
9.59,96,64,-992,998
9.62,112,48,-976,983
9.65,128,32,-976,984
9.67,112,48,-992,999
9.69,112,48,-960,967
9.72,112,48,-976,983
9.74,112,48,-992,999
9.77,96,48,-976,981
9.79,128,32,-976,984
9.81,112,32,-976,982
9.84,96,64,-992,998
9.86,112,64,-992,1000
9.91,128,48,-992,1001
9.93,128,48,-992,1001
9.95,112,64,-992,1000
9.98,112,48,-976,983
10.00,112,48,-976,983
10.03,96,64,-976,982
10.05,128,32,-960,969
10.07,96,32,-960,965
10.10,112,48,-976,983
10.12,128,64,-976,986
10.15,112,64,-976,984
10.17,112,80,-976,985
10.21,128,64,-976,986
10.24,96,64,-992,998
10.26,112,96,-976,987
10.29,96,48,-960,965
10.31,112,48,-976,983
10.34,112,48,-960,967
10.36,128,32,-992,1000
10.39,128,80,-976,987
10.41,112,48,-976,983
10.43,96,64,-976,982
10.46,112,48,-960,967
10.48,128,48,-960,969
10.53,96,48,-976,981
10.55,112,48,-960,967
10.57,112,64,-976,984
10.60,96,48,-960,965
10.62,128,48,-960,969
10.65,112,64,-976,984
10.67,128,48,-992,1001
10.69,96,48,-976,981
10.72,112,48,-960,967
10.74,96,32,-976,981
10.77,112,32,-976,982
10.79,112,48,-960,967
10.95,144,48,-976,987
10.97,80,64,-960,965
10.99,128,48,-976,985
11.02,112,64,-960,968
11.05,112,64,-992,1000
11.07,128,64,-992,1002
11.09,112,64,-992,1000
11.12,128,48,-976,985
11.14,112,64,-976,984
11.17,128,64,-976,986
11.19,128,64,-992,1002
11.23,128,48,-992,1001
11.26,128,32,-976,984
11.28,112,64,-992,1000
11.31,112,64,-992,1000
11.33,144,32,-992,1002
11.35,96,48,-992,997
11.38,112,48,-992,999
11.40,96,48,-976,981
11.43,112,48,-976,983
11.45,112,48,-976,983
11.47,112,48,-992,999
11.50,112,48,-992,999
11.54,128,64,-976,986
